公司,年份,报告类型,env_density,vague_sent_ratio,quant_sent_ratio,has_investment,positive_intensity,evidence_per_page,总字符数,总句子数
山西焦煤,2019,CSR,18.0442,0.151,0.098,0,1.2473,6.1667,12026,510
山西焦煤,2019,年报,2.295,0.3764,0.1092,1,0.2192,35.698,223530,10429
山西焦煤,2020,CSR,20.5711,0.1455,0.0869,1,0.7515,6.381,10646,495
山西焦煤,2020,年报,2.0816,0.3981,0.1136,1,0.2537,37.1429,248364,11831
山西焦煤,2022,CSR,25.7481,0.1371,0.0633,1,1.1084,5.4783,11729,569
山西焦煤,2022,年报,2.5366,0.2894,0.0829,1,0.2159,33.8439,259405,16037
山西焦煤,2023,CSR,20.4195,0.155,0.0872,1,0.924,6.0909,10823,516
山西焦煤,2023,年报,2.5433,0.306,0.0886,1,0.269,33.9409,245353,14635
山西焦煤,2024,CSR,20.3197,0.1823,0.0845,1,1.8062,7.4091,11073,521
山西焦煤,2024,年报,2.7723,0.3065,0.087,1,0.302,33.9036,238426,13822
巨化股份,2011,CSR,15.861,0.2852,0.1866,1,1.5106,13.3077,6620,284
巨化股份,2011,年报,1.3942,0.417,0.109,1,0.3297,38.0825,145603,6039
巨化股份,2012,CSR,17.4783,0.2496,0.1523,1,1.402,20.0,10699,709
巨化股份,2012,年报,2.0672,0.3984,0.1098,1,0.4798,38.0954,141735,6395
巨化股份,2013,CSR,15.7872,0.2855,0.1677,1,1.5893,21.4737,9438,662
巨化股份,2013,年报,2.0827,0.3978,0.1253,1,0.7455,37.1598,169015,7239
巨化股份,2014,CSR,17.6358,0.2236,0.1066,1,1.4895,14.3824,16784,1060
巨化股份,2014,年报,1.4633,0.3476,0.0953,1,0.6254,37.3587,164697,7598
巨化股份,2015,CSR,17.2242,0.2468,0.1143,1,1.7291,16.1333,15037,936
巨化股份,2015,年报,1.5295,0.3563,0.0976,1,0.6672,35.8333,158875,7016
巨化股份,2016,CSR,16.4552,0.1979,0.0989,1,1.7962,14.4857,17259,1142
巨化股份,2016,年报,1.3979,0.3452,0.0908,1,0.638,34.8783,172407,7885
巨化股份,2017,CSR,15.9727,0.1745,0.0919,1,2.7462,12.1389,17843,1186
巨化股份,2017,年报,2.1764,0.3406,0.0957,1,0.6721,34.1627,187468,8576
巨化股份,2018,CSR,15.2672,0.205,0.0989,1,2.7808,13.027,18340,1112
巨化股份,2018,年报,2.3582,0.3618,0.0904,1,0.6711,37.4894,211606,9617
巨化股份,2019,CSR,16.6451,0.2293,0.1217,0,2.9408,12.2353,17002,846
巨化股份,2019,年报,2.6381,0.3552,0.0889,1,0.7256,35.9642,223263,10343
巨化股份,2020,CSR,14.7008,0.2785,0.1299,0,2.2769,15.725,20203,1070
巨化股份,2020,年报,2.5752,0.3483,0.0864,1,0.7231,35.9091,236482,11127
巨化股份,2021,CSR,14.7008,0.2785,0.1299,0,2.2769,15.725,20203,1070
巨化股份,2021,年报,2.677,0.3516,0.0887,1,0.6995,35.6699,255881,11907
巨化股份,2022,年报,2.9083,0.3546,0.091,1,0.7778,35.1648,260980,11793
巨化股份,2023,年报,2.488,0.3311,0.0843,1,0.8944,34.1455,271702,12755
巨化股份,2024,CSR,17.3545,0.0472,0.0,0,2.5444,2.1491,56988,2161
巨化股份,2024,年报,2.4469,0.3112,0.0817,1,0.9185,31.8932,285260,13501
新和成,2011,CSR,19.8035,0.155,0.059,1,1.8422,6.0769,6514,271
新和成,2011,年报,0.9897,0.4228,0.1427,0,0.1814,41.5868,121246,5080
新和成,2012,CSR,17.5202,0.2297,0.0766,1,1.9253,7.6,5194,209
新和成,2012,年报,0.915,0.3832,0.0974,1,0.1166,41.4888,111477,4929
新和成,2013,CSR,17.9944,0.2193,0.0746,0,2.4367,7.0,5335,228
新和成,2013,年报,0.6386,0.4027,0.1175,0,0.1079,41.0991,111184,4731
新和成,2014,CSR,17.4182,0.2108,0.0807,0,3.0966,7.0,5167,223
新和成,2014,年报,0.5923,0.394,0.1186,0,0.1458,40.6347,109735,5008
新和成,2015,CSR,19.3402,0.2299,0.0856,0,3.868,7.7778,4395,187
新和成,2015,年报,0.6097,0.3816,0.1171,0,0.2779,40.3094,111537,5262
新和成,2016,CSR,16.8303,0.219,0.0952,1,4.4079,7.3,4991,210
新和成,2016,年报,0.9969,0.3938,0.1336,0,0.3023,41.1551,122380,5709
新和成,2017,CSR,15.4508,0.2629,0.1033,0,4.1072,9.0,5113,213
新和成,2017,年报,1.4879,0.3255,0.1207,0,0.2088,39.0065,153236,8790
新和成,2018,CSR,15.2245,0.2417,0.1232,0,3.2762,9.1,5189,211
新和成,2018,年报,1.6761,0.3879,0.1332,0,0.2666,41.1492,157511,7064
新和成,2019,CSR,14.8109,0.2335,0.1278,0,2.9622,8.5455,5739,227
新和成,2019,年报,1.5613,0.4196,0.1291,0,0.3022,41.3082,158837,7057
新和成,2020,CSR,14.8109,0.2335,0.1278,0,2.9622,8.5455,5739,227
新和成,2020,年报,1.9637,0.4191,0.1221,0,0.2606,42.0394,164996,7323
新和成,2021,CSR,16.1124,0.2346,0.1481,0,2.914,8.1667,5834,243
新和成,2021,年报,1.7597,0.4153,0.1227,0,0.4329,41.9719,177875,7960
新和成,2022,CSR,15.6307,0.2422,0.1345,0,2.908,8.1818,5502,223
新和成,2022,年报,1.6792,0.356,0.1151,0,0.4615,38.9139,179848,8217
新和成,2023,CSR,15.7849,0.2282,0.1328,0,2.255,7.6667,5765,241
新和成,2023,年报,1.6104,0.376,0.1253,0,0.5332,37.2745,183810,8053
新和成,2024,年报,1.8553,0.3541,0.1195,1,0.5293,37.8311,183258,8301
江西铜业,2011,CSR,13.748,0.2535,0.1607,0,2.404,10.7407,13311,647
江西铜业,2011,年报,0.78,0.4371,0.1908,1,0.0673,42.5197,178203,7379
江西铜业,2012,CSR,13.7036,0.2651,0.1576,1,2.9002,12.0357,13792,679
江西铜业,2012,年报,0.86,0.4451,0.1389,0,0.117,43.2836,170936,6906
江西铜业,2013,CSR,11.3089,0.2584,0.141,1,2.1888,11.4815,13706,681
江西铜业,2013,年报,0.8052,0.4355,0.1387,0,0.1256,42.5714,175103,7042
江西铜业,2014,CSR,13.8959,0.2422,0.1167,1,2.2877,10.5417,11802,574
江西铜业,2014,年报,0.8505,0.4061,0.1292,1,0.1157,41.4104,172846,7293
江西铜业,2015,CSR,14.1074,0.2527,0.1373,0,2.6388,11.65,9853,459
江西铜业,2015,年报,0.8568,0.3472,0.0973,0,0.1457,39.3265,171561,8336
江西铜业,2016,CSR,10.2085,0.2867,0.1564,0,3.1494,17.0556,9208,422
江西铜业,2016,年报,0.8293,0.3385,0.097,0,0.1467,37.3718,177252,8916
江西铜业,2017,CSR,10.2459,0.2489,0.1203,1,2.1468,13.85,10248,474
江西铜业,2017,年报,1.3292,0.3405,0.0903,1,0.0949,38.1583,189583,9531
江西铜业,2018,CSR,12.1694,0.2544,0.1128,0,2.0115,13.4,9943,452
江西铜业,2018,年报,1.5354,0.4311,0.1321,1,0.1851,40.3025,221447,9759
江西铜业,2019,CSR,13.5384,0.4297,0.1583,0,1.8943,20.9167,17949,733
江西铜业,2019,年报,2.0558,0.4363,0.1404,1,0.2056,41.4932,218898,9712
江西铜业,2020,CSR,13.4538,0.3574,0.1296,0,2.377,17.4762,21035,957
江西铜业,2020,年报,1.9519,0.4467,0.148,1,0.2999,43.6952,216711,9419
江西铜业,2023,年报,3.3199,0.5223,0.0977,1,0.4039,61.2258,123799,6062
江西铜业,2024,CSR,17.5041,0.2977,0.1471,0,2.6698,14.3709,106375,4004
江西铜业,2024,年报,1.9738,0.3938,0.1347,1,0.3052,38.2365,203162,9126
河钢股份,2011,CSR,7.6264,0.2852,0.0859,0,1.879,10.1667,18095,803
河钢股份,2011,年报,0.8034,0.4577,0.1034,0,0.2186,52.5221,169272,5375
河钢股份,2012,CSR,7.9202,0.2362,0.0925,0,3.5897,10.4571,17550,800
河钢股份,2012,年报,1.2081,0.4792,0.112,0,0.4605,43.8367,149826,5624
河钢股份,2013,CSR,8.7434,0.25,0.0903,0,3.2002,11.3429,17499,808
河钢股份,2013,年报,1.388,0.4775,0.1228,1,0.3169,44.3101,157785,6124
河钢股份,2014,CSR,14.4502,0.216,0.1383,0,1.8369,10.125,8166,412
河钢股份,2014,年报,0.8659,0.4953,0.1362,0,0.1709,46.8376,175533,6630
河钢股份,2015,CSR,14.2061,0.2397,0.1598,0,2.507,12.5714,7180,363
河钢股份,2015,年报,1.0634,0.4727,0.118,0,0.2789,44.3285,172086,6594
河钢股份,2016,CSR,13.2561,0.2319,0.1522,0,2.1332,11.3846,6563,276
河钢股份,2016,年报,1.5997,0.4534,0.1289,0,0.3801,41.8244,176283,6883
河钢股份,2017,CSR,15.6863,0.3363,0.0832,0,1.6934,18.5,11220,553
河钢股份,2017,年报,1.9748,0.4574,0.1289,0,0.3726,40.6197,187863,7121
河钢股份,2018,CSR,18.5185,0.2979,0.1141,1,2.3742,15.7619,10530,517
河钢股份,2019,CSR,14.574,0.3002,0.1067,0,1.9619,16.9048,10704,553
河钢股份,2019,年报,0.0,0.3448,0.0875,0,0.0,64.6471,8448,377
河钢股份,2020,CSR,14.7086,0.3436,0.1256,0,1.3964,20.9048,10742,454
河钢股份,2020,年报,1.6851,0.4519,0.1247,0,0.26,40.1875,199989,8028
河钢股份,2021,CSR,15.3675,0.3214,0.1155,0,1.9209,19.1,9891,476
河钢股份,2022,CSR,11.4185,0.2007,0.1073,0,2.635,8.6429,6831,289
河钢股份,2022,年报,2.3245,0.4165,0.1036,0,0.2918,39.757,195314,8417
河钢股份,2023,年报,2.4549,0.4142,0.1055,0,0.275,39.7875,200006,8682
河钢股份,2024,年报,2.4884,0.4139,0.0973,0,0.4751,39.3553,212584,9203
洛阳钼业,2012,CSR,15.5733,0.1878,0.1171,0,1.4933,7.8947,9375,410
洛阳钼业,2012,年报,1.1726,0.4146,0.1242,0,0.1799,39.2733,150088,5933
洛阳钼业,2013,CSR,10.3052,0.2266,0.1113,0,1.1098,9.96,12615,512
洛阳钼业,2013,年报,1.3196,0.4191,0.1188,0,0.1601,37.5414,181115,6972
洛阳钼业,2014,CSR,10.5348,0.2211,0.1116,0,0.9724,9.64,12340,493
洛阳钼业,2014,年报,0.2415,0.3965,0.0945,0,0.0154,35.2108,194649,6920
洛阳钼业,2016,CSR,18.9072,0.2062,0.0923,0,1.0408,7.087,23060,975
洛阳钼业,2016,年报,1.7761,0.3988,0.1185,0,0.2754,35.8876,217899,8584
洛阳钼业,2017,CSR,0.0,0.0,0.0,0,0.0,0.0,28,1
洛阳钼业,2017,年报,2.2962,0.4014,0.1126,1,0.2137,36.0545,219931,8727
洛阳钼业,2018,CSR,0.0,0.0,0.0,0,0.0,0.0,78,1
洛阳钼业,2018,年报,6.3749,0.3634,0.1702,1,0.6535,24.3467,74982,3137
洛阳钼业,2019,CSR,0.0,0.0,0.0,0,0.0,0.0,84,1
洛阳钼业,2019,年报,2.0577,0.4426,0.1267,1,0.3373,38.3783,266808,9794
洛阳钼业,2020,年报,1.9658,0.4518,0.1356,1,0.2975,39.4915,265547,9670
洛阳钼业,2021,年报,2.1465,0.4408,0.136,1,0.3369,37.5284,255304,9500
洛阳钼业,2022,CSR,11.5948,0.2613,0.126,0,0.3998,12.7742,77535,3429
洛阳钼业,2022,年报,2.83,0.4371,0.1296,1,0.3747,37.6797,256180,9400
洛阳钼业,2023,CSR,11.4224,0.2822,0.1276,0,0.43,13.3717,95339,3628
洛阳钼业,2023,年报,8.2265,0.3569,0.1435,1,0.732,26.3934,91534,3693
洛阳钼业,2024,年报,8.1665,0.3652,0.1393,1,0.9371,26.7039,89634,3976
浙江龙盛,2011,CSR,15.337,0.3008,0.1953,0,1.3272,9.8571,6781,256
浙江龙盛,2011,年报,0.6175,0.4385,0.1151,0,0.0735,38.9191,204039,8883
浙江龙盛,2012,CSR,11.8682,0.2612,0.1671,0,1.8669,12.7333,7499,425
浙江龙盛,2012,年报,1.1116,0.3969,0.1226,0,0.1962,38.2351,168219,7209
浙江龙盛,2013,CSR,13.5581,0.2574,0.1777,0,1.5879,14.4375,8187,439
浙江龙盛,2013,年报,1.0771,0.4197,0.1317,0,0.2975,39.6637,168043,6812
浙江龙盛,2014,CSR,15.5327,0.2734,0.1731,0,1.4603,14.2,15065,757
浙江龙盛,2014,年报,1.065,0.4317,0.1095,0,0.2893,42.9169,162448,6312
浙江龙盛,2015,CSR,14.1891,0.2587,0.1573,0,1.8071,13.5667,14941,750
浙江龙盛,2015,年报,1.073,0.4252,0.1071,0,0.3231,43.2317,164033,6601
浙江龙盛,2016,CSR,14.269,0.2899,0.1345,1,3.0656,14.2778,17941,959
浙江龙盛,2016,年报,1.2859,0.4191,0.1058,1,0.2779,42.4142,183529,7649
浙江龙盛,2017,CSR,11.9912,0.2797,0.1499,1,3.3634,12.7805,20515,1001
